===== LOADED MODULES =====
Module                  Size  Used by
ufs                   110592  0
qnx4                   16384  0
hfsplus               131072  0
hfs                    77824  0
minix                  53248  0
msdos                  16384  0
jfs                   282624  0
nls_ucs2_utils         12288  1 jfs
xfs                  2539520  0
xt_recent              24576  0
tls                   159744  0
tcp_diag               12288  0
udp_diag               12288  0
inet_diag              28672  2 tcp_diag,udp_diag
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
xt_conntrack           12288  4
xt_MASQUERADE          16384  4
xfrm_user              61440  1
xfrm_algo              20480  1 xfrm_user
xt_set                 20480  0
ip_set                 65536  1 xt_set
xt_addrtype            12288  4
nft_compat             24576  12
nft_masq               12288  2
ipmi_ssif              40960  0
nft_chain_nat          12288  7
nf_nat                 69632  3 nft_masq,nft_chain_nat,xt_MASQUERADE
nf_conntrack          200704  4 xt_conntrack,nf_nat,nft_masq,xt_MASQUERADE
ipmi_devintf           20480  0
ipmi_msghandler       106496  2 ipmi_devintf,ipmi_ssif
nf_defrag_ipv6         24576  1 nf_conntrack
nf_defrag_ipv4         12288  1 nf_conntrack
bridge                409600  0
stp                    12288  1 bridge
llc                    16384  2 bridge,stp
nf_tables             364544  157 nft_compat,nft_masq,nft_chain_nat
vxlan                 151552  0
ip6_udp_tunnel         16384  1 vxlan
udp_tunnel             36864  1 vxlan
aes_ce_ccm             12288  2
michael_mic            12288  1
rfcomm                106496  6
algif_hash             16384  1
algif_skcipher         12288  1
af_alg                 32768  6 algif_hash,algif_skcipher
snd_soc_wsa883x        28672  2
q6apm_lpass_dais       16384  1
q6prm_clocks           12288  18
snd_q6dsp_common       49152  2 q6apm_lpass_dais,q6prm_clocks
q6apm_dai              28672  1
q6prm                  12288  1 q6prm_clocks
overlay               212992  0
bnep                   36864  2
zram                   61440  1
842_decompress         20480  1 zram
842_compress           24576  1 zram
lz4hc_compress         20480  1 zram
lz4_compress           28672  1 zram
qrtr_mhi               16384  0
binfmt_misc            28672  1
nls_iso8859_1          12288  1
venus_dec              49152  0
ath11k_pci             32768  0
venus_enc              45056  0
ath11k                843776  1 ath11k_pci
videobuf2_dma_contig    24576  2 venus_dec,venus_enc
mac80211             1728512  1 ath11k
cfg80211             1339392  2 ath11k,mac80211
libarc4                12288  1 mac80211
hci_uart              200704  0
btqca                  28672  1 hci_uart
btrtl                  36864  1 hci_uart
btintel                73728  1 hci_uart
qcom_spmi_adc_tm5      24576  0
qcom_spmi_adc5         45056  0
pm8941_pwrkey          16384  0
qcom_vadc_common       16384  2 qcom_spmi_adc_tm5,qcom_spmi_adc5
btbcm                  24576  1 hci_uart
qcom_spmi_temp_alarm    20480  0
industrialio          147456  3 qcom_spmi_temp_alarm,qcom_spmi_adc_tm5,qcom_spmi_adc5
bluetooth            1036288  34 btrtl,btqca,btintel,hci_uart,btbcm,bnep,rfcomm
snd_soc_sc8280xp       12288  5
snd_soc_qcom_sdw       12288  1 snd_soc_sc8280xp
snd_soc_qcom_common    16384  1 snd_soc_sc8280xp
qcom_camss            581632  0
venus_core            196608  2 venus_dec,venus_enc
videobuf2_dma_sg       20480  1 qcom_camss
ov5675                 20480  0
snd_soc_hdmi_codec     24576  0
v4l2_mem2mem           57344  3 venus_dec,venus_core,venus_enc
videobuf2_memops       16384  2 videobuf2_dma_contig,videobuf2_dma_sg
v4l2_fwnode            36864  3 qcom_camss,ov5675
videobuf2_v4l2         36864  4 qcom_camss,venus_dec,venus_enc,v4l2_mem2mem
videobuf2_common       86016  9 qcom_camss,videobuf2_dma_contig,venus_dec,videobuf2_v4l2,venus_core,videobuf2_dma_sg,venus_enc,v4l2_mem2mem,videobuf2_memops
